real12,pred12,real3,pred3
13.0,12.281628,13.0,11.528591
10.0,11.0707245,9.0,10.936991
6.0,10.285929,14.0,12.018089
10.0,9.291056,14.0,13.843395
4.0,8.576517,12.0,15.276058
5.0,8.501785,13.0,14.937679
8.0,7.929901,12.0,13.844414
13.0,6.818863,14.0,13.125198
7.0,5.978466,15.0,11.795858
6.0,5.681143,13.0,10.826042
5.0,6.112463,10.0,9.531052
3.0,6.2234764,6.0,8.466412
4.0,5.7390976,10.0,7.6578083
6.0,5.8845043,4.0,7.112318
6.0,6.6408463,5.0,7.1344185
9.0,7.076809,8.0,5.5184574
5.0,7.522915,13.0,5.4865627
7.0,7.212862,7.0,5.5395374
9.0,7.995903,6.0,4.462223
12.0,9.496067,5.0,3.9591045
8.0,9.081249,3.0,5.2977962
9.0,8.4716,4.0,5.335661
7.0,8.88372,6.0,4.733038
19.0,8.764473,6.0,4.812544
8.0,8.830978,9.0,4.861931
6.0,9.077703,5.0,5.3447666
8.0,9.461214,7.0,5.8213787
15.0,9.605312,9.0,5.862095
11.0,10.01667,12.0,6.830303
12.0,10.0914,8.0,6.8412685
12.0,10.469208,9.0,6.676752
10.0,11.457993,7.0,7.1035423
12.0,11.549116,19.0,8.194183
12.0,11.449875,8.0,8.826586
17.0,11.954264,6.0,9.783281
11.0,12.47723,8.0,9.832865
20.0,14.699234,15.0,11.7254715
15.0,19.56546,11.0,11.1674595
23.0,19.962708,12.0,11.165516
21.0,19.055223,12.0,12.201561
20.0,18.373882,10.0,12.925936
19.0,18.888332,12.0,13.275511
25.0,18.900684,12.0,12.281839
22.0,19.62947,17.0,13.013079
21.0,20.218727,11.0,14.581455
22.0,20.711231,20.0,17.96766
22.0,21.666815,15.0,19.157772
17.0,21.818975,23.0,20.253654
26.0,23.91415,21.0,21.004972
22.0,23.596882,20.0,19.899956
22.0,22.379143,19.0,21.36568
19.0,21.45115,25.0,21.083714
23.0,23.009594,22.0,22.11689
22.0,23.477001,21.0,21.163773
21.0,22.843216,22.0,21.52953
20.0,22.358118,22.0,21.952017
23.0,22.313963,17.0,21.891436
18.0,22.731224,26.0,22.048828
20.0,22.966112,22.0,22.245121
26.0,23.372208,22.0,20.786234
17.0,23.602821,19.0,21.938662
19.0,23.982496,23.0,21.216301
23.0,23.50859,22.0,21.409422
28.0,23.862003,21.0,20.2886
23.0,24.132519,20.0,20.655334
24.0,24.13964,23.0,20.25019
19.0,23.322,18.0,20.582191
18.0,22.132736,20.0,20.58684
15.0,21.51371,26.0,21.46399
20.0,20.694145,17.0,22.01947
15.0,20.008732,19.0,22.226189
16.0,20.832054,23.0,22.33728
14.0,19.972025,28.0,22.878635
14.0,19.223015,23.0,21.492441
20.0,19.284832,24.0,21.897816
25.0,19.607424,19.0,21.719975
17.0,19.267275,18.0,19.610014
17.0,18.204525,15.0,18.543266
23.0,17.835571,20.0,17.511232
14.0,17.868221,15.0,16.685163
15.0,17.889454,16.0,17.540888
18.0,18.207851,14.0,17.613367
17.0,17.81474,14.0,18.404099
10.0,18.15969,20.0,17.868237
21.0,19.104418,25.0,17.821926
18.0,18.93018,17.0,17.086813
20.0,19.824516,17.0,16.750225
13.0,20.536068,23.0,17.059025
25.0,19.994202,14.0,17.977877
17.0,19.277843,15.0,17.27673
18.0,18.7225,18.0,19.285286
16.0,18.23376,17.0,19.672035
24.0,17.939112,10.0,18.835297
21.0,17.321518,21.0,19.72931
16.0,17.457577,18.0,19.139427
17.0,16.580612,20.0,18.163462
16.0,16.523823,13.0,18.014423
11.0,16.106447,25.0,16.802526
15.0,15.740719,17.0,18.247116
15.0,15.089739,18.0,17.98967
17.0,15.237089,16.0,18.93595
15.0,14.961014,24.0,18.289974
8.0,15.351355,21.0,17.516397
14.0,14.249651,16.0,16.61905
8.0,13.531229,17.0,15.209156
10.0,13.923685,16.0,14.845217
16.0,14.176563,11.0,15.483753
12.0,12.828489,15.0,15.166492
11.0,12.013121,15.0,15.3706875
17.0,12.441788,17.0,14.246344
9.0,11.882061,15.0,13.88183
10.0,11.407703,8.0,13.592485
9.0,11.184198,14.0,13.481382
25.0,12.430561,8.0,13.395109
29.0,12.863594,10.0,12.961376
15.0,12.43754,16.0,12.834223
12.0,12.055132,12.0,11.873074
15.0,11.921133,11.0,11.157722
13.0,12.080713,17.0,9.957949
11.0,12.506815,9.0,10.211815
15.0,12.700401,10.0,11.175211
15.0,12.801357,9.0,12.006527
13.0,12.906237,25.0,11.932528
11.0,13.659285,29.0,13.125383
18.0,13.460302,15.0,12.630154
14.0,13.202486,12.0,13.184092
10.0,14.181562,15.0,14.716019
16.0,14.962585,13.0,15.218359
15.0,12.072519,11.0,12.936705
13.0,12.497026,15.0,13.695915
11.0,12.003487,15.0,13.778875
13.0,12.524902,13.0,13.384069
7.0,10.834019,11.0,12.453955
15.0,10.78286,18.0,12.116377
9.0,11.029549,14.0,12.717237
14.0,11.26564,10.0,13.395855
4.0,11.006348,16.0,13.454264
7.0,10.856251,15.0,13.300621
6.0,10.908577,13.0,13.260151
8.0,10.853058,11.0,13.751745
13.0,10.395172,13.0,12.2218895
12.0,10.742643,7.0,12.286932
12.0,11.21191,15.0,12.08242
11.0,10.95541,9.0,11.207037
9.0,11.37768,14.0,10.954954
14.0,10.881807,4.0,9.262798
19.0,12.62188,7.0,9.410858
18.0,12.067087,6.0,8.984823
14.0,14.151363,8.0,10.757328
14.0,14.102404,13.0,11.439762
16.0,15.136972,12.0,10.709719
16.0,16.629631,12.0,9.752708
16.0,15.86784,11.0,9.546566
12.0,14.211973,9.0,10.556881
12.0,13.562489,14.0,12.606216
13.0,13.2156105,19.0,13.872305
15.0,13.931858,18.0,14.886997
8.0,14.18084,14.0,13.866625
16.0,13.213556,14.0,14.494513
19.0,13.668894,16.0,14.140675
17.0,15.520657,16.0,14.940161
15.0,15.156574,16.0,14.570789
8.0,14.734554,12.0,12.874231
8.0,12.849077,12.0,12.368805
7.0,12.455513,13.0,12.895624
6.0,11.833071,15.0,13.773199
14.0,11.836494,8.0,14.148788
15.0,11.03483,16.0,14.663221
10.0,11.2177925,19.0,14.188385
10.0,11.219963,17.0,13.889275
6.0,10.265402,15.0,12.775755
11.0,9.916332,8.0,11.008364
20.0,10.702513,8.0,10.036682
12.0,12.102871,7.0,9.959524
12.0,9.434717,6.0,10.409988
9.0,9.397556,14.0,11.252266
8.0,9.16305,15.0,11.443981
9.0,9.638756,10.0,10.996132
9.0,10.343956,10.0,9.251749
